county,ward,office,district,total votes,party,candidate,votes
Dunn,Town Of Colfax Wards 1-3,"Dunn County Circuit Court, Branch 1",,33,IND,James M. Peterson,12
Dunn,Town Of Colfax Wards 1-3,"Dunn County Circuit Court, Branch 1",,33,IND,Roger M. Hillestad,4
Dunn,Town Of Colfax Wards 1-3,"Dunn County Circuit Court, Branch 1",,33,IND,Christina M. Mayer,17
Dunn,Town Of Colfax Wards 1-3,"Dunn County Circuit Court, Branch 1",,33,,Scattering,0
Dunn,Town Of Dunn Wards 1-2,"Dunn County Circuit Court, Branch 1",,69,IND,James M. Peterson,22
Dunn,Town Of Dunn Wards 1-2,"Dunn County Circuit Court, Branch 1",,69,IND,Roger M. Hillestad,19
Dunn,Town Of Dunn Wards 1-2,"Dunn County Circuit Court, Branch 1",,69,IND,Christina M. Mayer,28
Dunn,Town Of Dunn Wards 1-2,"Dunn County Circuit Court, Branch 1",,69,,Scattering,0
Dunn,Town Of Eau Galle Ward 1,"Dunn County Circuit Court, Branch 1",,27,IND,James M. Peterson,8
Dunn,Town Of Eau Galle Ward 1,"Dunn County Circuit Court, Branch 1",,27,IND,Roger M. Hillestad,6
Dunn,Town Of Eau Galle Ward 1,"Dunn County Circuit Court, Branch 1",,27,IND,Christina M. Mayer,13
Dunn,Town Of Eau Galle Ward 1,"Dunn County Circuit Court, Branch 1",,27,,Scattering,0
Dunn,Town Of Elk Mound Ward 1-3,"Dunn County Circuit Court, Branch 1",,21,IND,James M. Peterson,15
Dunn,Town Of Elk Mound Ward 1-3,"Dunn County Circuit Court, Branch 1",,21,IND,Roger M. Hillestad,2
Dunn,Town Of Elk Mound Ward 1-3,"Dunn County Circuit Court, Branch 1",,21,IND,Christina M. Mayer,4
Dunn,Town Of Elk Mound Ward 1-3,"Dunn County Circuit Court, Branch 1",,21,,Scattering,0
Dunn,Town Of Grant Wards 1-2,"Dunn County Circuit Court, Branch 1",,22,IND,James M. Peterson,12
Dunn,Town Of Grant Wards 1-2,"Dunn County Circuit Court, Branch 1",,22,IND,Roger M. Hillestad,6
Dunn,Town Of Grant Wards 1-2,"Dunn County Circuit Court, Branch 1",,22,IND,Christina M. Mayer,4
Dunn,Town Of Grant Wards 1-2,"Dunn County Circuit Court, Branch 1",,22,,Scattering,0
Dunn,Town Of Hay River Wards 1 & 2,"Dunn County Circuit Court, Branch 1",,18,IND,James M. Peterson,6
Dunn,Town Of Hay River Wards 1 & 2,"Dunn County Circuit Court, Branch 1",,18,IND,Roger M. Hillestad,4
Dunn,Town Of Hay River Wards 1 & 2,"Dunn County Circuit Court, Branch 1",,18,IND,Christina M. Mayer,8
Dunn,Town Of Hay River Wards 1 & 2,"Dunn County Circuit Court, Branch 1",,18,,Scattering,0
Dunn,Town Of Lucas Ward 1,"Dunn County Circuit Court, Branch 1",,28,IND,James M. Peterson,15
Dunn,Town Of Lucas Ward 1,"Dunn County Circuit Court, Branch 1",,28,IND,Roger M. Hillestad,3
Dunn,Town Of Lucas Ward 1,"Dunn County Circuit Court, Branch 1",,28,IND,Christina M. Mayer,10
Dunn,Town Of Lucas Ward 1,"Dunn County Circuit Court, Branch 1",,28,,Scattering,0
Dunn,Town Of Menomonie Wards 1-3,"Dunn County Circuit Court, Branch 1",,133,IND,James M. Peterson,62
Dunn,Town Of Menomonie Wards 1-3,"Dunn County Circuit Court, Branch 1",,133,IND,Roger M. Hillestad,11
Dunn,Town Of Menomonie Wards 1-3,"Dunn County Circuit Court, Branch 1",,133,IND,Christina M. Mayer,60
Dunn,Town Of Menomonie Wards 1-3,"Dunn County Circuit Court, Branch 1",,133,,Scattering,0
Dunn,Town Of New Haven Ward 1,"Dunn County Circuit Court, Branch 1",,13,IND,James M. Peterson,6
Dunn,Town Of New Haven Ward 1,"Dunn County Circuit Court, Branch 1",,13,IND,Roger M. Hillestad,3
Dunn,Town Of New Haven Ward 1,"Dunn County Circuit Court, Branch 1",,13,IND,Christina M. Mayer,4
Dunn,Town Of New Haven Ward 1,"Dunn County Circuit Court, Branch 1",,13,,Scattering,0
Dunn,Town Of Otter Creek Ward 1,"Dunn County Circuit Court, Branch 1",,32,IND,James M. Peterson,10
Dunn,Town Of Otter Creek Ward 1,"Dunn County Circuit Court, Branch 1",,32,IND,Roger M. Hillestad,3
Dunn,Town Of Otter Creek Ward 1,"Dunn County Circuit Court, Branch 1",,32,IND,Christina M. Mayer,19
Dunn,Town Of Otter Creek Ward 1,"Dunn County Circuit Court, Branch 1",,32,,Scattering,0
Dunn,Town Of Peru Ward 1,"Dunn County Circuit Court, Branch 1",,8,IND,James M. Peterson,0
Dunn,Town Of Peru Ward 1,"Dunn County Circuit Court, Branch 1",,8,IND,Roger M. Hillestad,2
Dunn,Town Of Peru Ward 1,"Dunn County Circuit Court, Branch 1",,8,IND,Christina M. Mayer,6
Dunn,Town Of Peru Ward 1,"Dunn County Circuit Court, Branch 1",,8,,Scattering,0
Dunn,Town Of Red Cedar Ward 1-3,"Dunn County Circuit Court, Branch 1",,71,IND,James M. Peterson,33
Dunn,Town Of Red Cedar Ward 1-3,"Dunn County Circuit Court, Branch 1",,71,IND,Roger M. Hillestad,11
Dunn,Town Of Red Cedar Ward 1-3,"Dunn County Circuit Court, Branch 1",,71,IND,Christina M. Mayer,27
Dunn,Town Of Red Cedar Ward 1-3,"Dunn County Circuit Court, Branch 1",,71,,Scattering,0
Dunn,Town Of Rock Creek Ward 1,"Dunn County Circuit Court, Branch 1",,22,IND,James M. Peterson,5
Dunn,Town Of Rock Creek Ward 1,"Dunn County Circuit Court, Branch 1",,22,IND,Roger M. Hillestad,6
Dunn,Town Of Rock Creek Ward 1,"Dunn County Circuit Court, Branch 1",,22,IND,Christina M. Mayer,11
Dunn,Town Of Rock Creek Ward 1,"Dunn County Circuit Court, Branch 1",,22,,Scattering,0
Dunn,Town Of Sand Creek Ward 1,"Dunn County Circuit Court, Branch 1",,28,IND,James M. Peterson,11
Dunn,Town Of Sand Creek Ward 1,"Dunn County Circuit Court, Branch 1",,28,IND,Roger M. Hillestad,6
Dunn,Town Of Sand Creek Ward 1,"Dunn County Circuit Court, Branch 1",,28,IND,Christina M. Mayer,11
Dunn,Town Of Sand Creek Ward 1,"Dunn County Circuit Court, Branch 1",,28,,Scattering,0
Dunn,Town Of Sheridan Ward 1,"Dunn County Circuit Court, Branch 1",,15,IND,James M. Peterson,9
Dunn,Town Of Sheridan Ward 1,"Dunn County Circuit Court, Branch 1",,15,IND,Roger M. Hillestad,0
Dunn,Town Of Sheridan Ward 1,"Dunn County Circuit Court, Branch 1",,15,IND,Christina M. Mayer,6
Dunn,Town Of Sheridan Ward 1,"Dunn County Circuit Court, Branch 1",,15,,Scattering,0
